profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
1,3.1,50,4,3,0,0,1,1,2,0,1,0,0,0,0,0,2,3,1,0,0,3,3
2,4,88,2.2,0,1,0,2,4,1,0,1,0,0,1,1,0,5,2,3,2,0,1,0
3,4.6,NA,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.4,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.5,NA,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.6,NA,1.7,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
7,4.1,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,100,2,1,3,0,6,1,1,0,2,0,0,3,1,0,1,0,0,0,0,0,0
9,3.6,100,2.3,0,1,0,6,1,0,0,2,1,0,0,3,1,2,0,5,0,0,0,0
10,3.9,NA,3,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
11,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3.3,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.6,14,3.3,1,0,0,0,2,0,0,0,0,1,0,0,3,5,0,1,0,1,1,2
14,3.1,NA,3.2,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2
15,2.9,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.9,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4.2,78,2.6,1,2,0,8,8,1,0,5,0,0,1,2,0,6,2,1,6,0,0,4
18,2.9,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.9,24,3.5,2,1,2,3,5,0,2,7,1,0,2,1,14,38,1,2,51,0,9,44
20,2.3,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
